Cluster Name	R☉ [kpc]  Distance from Sun	Mass [M☉]  rh.m [pc]   estimate mean mass [M☉]	c_according_Cox c_calc_(log(rt/rc))
NGC_6287 	7.93	1.30d5 	2.81 	0.57	1.60	1.85
NGC_6293 	9.19 	1.42d5 	3.18 	0.53	2.50	2.61
NGC_6304 	6.15 	1.03d5 	3.05 	0.67	1.80	1.84
NGC_6316 	11.15 	3.47d5 	6.08 	0.71	1.55	1.81
NGC_6325 	7.53 	6.19d4 	2.38 	0.65	2.50	2.27
NGC_6333_(M-9)	8.30 	3.08d5 	3.81 	0.58	1.15	1.61
NGC_6341_(M-92)	8.50 	2.73d5 	3.59 	0.52	1.81	2.59
NGC_6342 	8.01 	3.77d4 	1.86 	0.6	2.50	1.94
NGC_6352 	5.54 	6.02d4 	4.80 	0.55	1.10	1.57
NGC_6355 	8.65 	9.91d4 	3.34 	0.65	2.50	1.86
NGC_6356 	15.66 	5.65d5 	7.73 	0.47	1.54	1.89
NGC_6362 	7.65 	1.17d5 	7.24 	0.53	1.10	1.24
NGC_6366 	3.44 	4.66d4 	6.42 	0.62	0.92	1.21
NGC_6380 	9.61 	3.41d5 	4.42 	0.69	1.55	1.63
NGC_6388 	11.17 	1.31d6 	5.37 	0.65	1.70	2.30
NGC_6397 	2.48 	8.24d4 	3.16 	0.57	2.50	2.55
NGC_6401 	7.44 	1.21d5 	3.17 	0.61	1.69	1.64
NGC_6402_(M-14) 	9.14 	5.95d5 	4.92 	0.62	1.60	1.57
NGC_6426 	20.71 	7.31d4 	7.88 	0.56	1.70	1.53
NGC_6440 	8.25 	5.69d5 	2.80 	0.69	1.70	1.96
NGC_6441 	12.73 	1.39d6 	4.30 	0.66	1.85	2.23
NGC_6453 	10.07 	1.68d5 	3.87 	0.62	2.50	2.40
NGC_6496 	9.64 	7.44d4 	7.01 	0.57	0.70	1.06
NGC_6517 	9.23 	2.16d5 	2.88 	0.68	1.82	2.53
NGC_6522 	7.29 	2.14d5 	3.15 	0.6	2.50	1.60
NGC_6528 	7.83 	9.44d4 	5.01 	0.68	2.29	1.61
NGC_6535 	6.36 	1.98d4 	3.43 	0.49	1.30	2.09
NGC_6539 	8.16 	2.15d5 	5.16 	0.71	1.60	1.51
NGC_6540 	5.91 	5.62d4 	4.49 	0.57	2.50	2.40
NGC_6541 	7.61 	2.57d5 	3.81 	0.52	2.00	2.53
NGC_6544 	2.58 	8.15d4 	2.24 	0.61	1.63	2.38
NGC_6553 	5.33 	2.29d5 	2.88 	0.69	1.17	1.96
NGC_6558 	7.79 	3.13d4 	1.96 	0.54	2.50	1.78
NGC_6569 	10.53 	2.29d5 	3.46 	0.69	1.27	1.68
NGC_6584 	13.61	1.15d5 	5.37 	0.57	1.20	1.71
NGC_6624 	8.02 	1.03d5 	2.25 	0.52	2.50	1.95
NGC_6626_(M-28) 	5.37	2.70d5 	2.33 	0.5	1.67	2.17
NGC_6637_(M-69) 	8.90 	1.38d5 	3.19 	0.55	1.39	1.63
NGC_6638 	9.78 	1.24d5 	2.28 	0.6	1.40	1.78
NGC_6642 	8.05 	3.95d4 	1.73 	0.52	1.99	2.17
NGC_6652 	9.46 	4.09d4 	1.85 	0.5	1.80	2.02
NGC_6656_(M-22) 	3.30 	4.70d5 	5.21 	0.51	1.31	1.94
NGC_6681_(M-70) 	9.36 	1.05d5 	3.04 	0.51	2.50	2.59
NGC_6712 	7.38 	9.50d4 	3.50 	0.6	0.90	1.70
NGC_6715_(M-54) 	26.28 	1.59d6 	5.78 	0.67	1.84	2.71
NGC_6717 	7.52 	2.63d4 	3.26 	0.49	2.50	1.79
NGC_6723 	8.27 	1.97d5 	5.07 	0.53	1.05	1.42
NGC_6749 	7.59 	2.05d5 	6.10 	0.46	0.75	1.63
NGC_6752 	4.12 	2.61d5 	4.75 	0.51	2.50	2.35
NGC_6760 	8.41 	2.86d5 	5.74 	0.76	1.59	1.83
NGC_6779_(M-56) 	10.43 	1.66d5 	4.42 	0.56	1.37	1.97
NGC_6809_(M-55) 	5.35 	1.97d5 	6.78 	0.46	0.76	1.32
NGC_6838_(M-71) 	4.00 	3.78d4 	4.81 	0.54	1.15	1.58
NGC_6864_(M-75) 	20.52 	4.59d5 	2.94 	0.7	1.88	2.58
NGC_6934 	15.72 	1.50d5 	4.71 	0.61	1.53	2.10
NGC_6981_(M-72) 	16.66 	8.12d4 	5.79 	0.62	1.23	1.41
NGC_7006 	39.32 	1.32d5 	6.59 	0.61	1.42	2.00
NGC_7078_(M-15) 	10.71 	5.18d5 	3.66 	0.51	2.50	3.34
NGC_7089_(M-2) 	11.69 	6.24d5 	4.76 	0.55	1.80	2.19
NGC_7099_(M-30) 	8.46 	1.21d5 	4.27 	0.53	2.50	2.90
NGC_7492 	24.39 	1.97d4 	10.59 	0.7	1.00	1.31
Pal_1 	11.18 	9.26d2 	3.43 	0.65	1.50	1.70
Pal_2 	26.17 	2.20d5 	7.64 	0.69	1.91	1.86
Pal_3 	94.84 	1.85d4 	27.60 	0.72	1.00	1.18
Pal_4 	101.39 	1.53d4 	21.12 	0.71	0.78	1.28
Pal_5 	21.94 	1.34d4 	27.63 	0.58	0.74	0.51
Pal_6 	7.05 	8.56d4 	2.91 	0.37	1.10	1.23
Pal_8 	11.32 	7.13d4 	6.14 	0.42	1.53	1.29
Pal_10 	8.94 	1.25d5 	6.91 	0.46	1.56	1.45
Pal_11 	14.02 	1.42d4 	9.75 	0.78	0.69	0.90
Pal_12 	18.49 	6.19d3 	10.54 	0.62	1.94	1.30
Pal_13 	23.48 	2.78d3 	15.67 	0.5	0.66	2.06
Pal_14 	73.58 	1.91d4 	37.72 	0.69	0.72	0.46
Pal_15 	44.10 	5.25d4 	27.01 	0.64	0.60	0.85
Patchick_126 	8.00 	5.39d3 	1.53 	0.35	null	2.00
Pyxis 	36.53 	3.22d4 	23.52 	0.66	0.65	0.99
RLGC_1 	28.84 	2.8d5 	11.57 	0.47	null	1.81
RLGC_2 	15.85 	2.7d5 	5.00 	0.45	null	2.48
Rup 106 	20.71 	3.40d4 	11.14 	0.56	0.70	1.16
Sagittarius_II 	66.53 	3.05d4 	39.44 	0.65	null	1.27
Ter_1 	5.67 	1.99d5 	1.86 	0.74	2.50	2.03
Ter_2 	7.75 	8.05d4 	4.31 	0.84	2.50	1.43
Ter_3 	7.64 	3.25d4 	6.24 	0.66	0.70	0.95
Ter_4 	7.59 	1.81d5 	5.67 	0.67	null	1.60
Ter_5 	6.62 	1.09d6 	4.03 	0.8	1.74	1.88
Ter_6 	7.27 	1.00d5 	1.91 	0.74	2.50	1.55
Ter_7 	24.28 	2.23d4 	12.18 	0.78	1.08	1.19
Ter_8 	27.54 	7.59d4 	21.24 	0.57	0.60	1.03
Ter_9 	5.77	1.37d5 	2.58 	0.71	2.50	2.05
Ter_10 	10.21 	3.19d5 	4.67 	0.5	null	2.14
Ter_12 	5.17 	3.76d4 	2.71 	0.78	0.57	1.58
Ton_2 	6.99 	4.31d4 	4.26 	0.66	1.30	1.34
UKS_1 	15.58 	8.0d4 	4.07 	0.4	2.10	1.67
VVV-CL001 	8.08	1.54d5 	3.23 	0.42	null	1.81
VVV-CL160 	6.80 	5.28d4 	4.50 	0.41	null	1.38
Whiting_1 	30.59 	1.37d3 	16.53 	null	null	null

