# Namecluster  #radius(arcsec) #velrms(km/s)	
2MASS-GC02 		
	95.91 	2.92 
	128.42 	3.10 
 	246.08 	1.57 
  	0	0
 	
NGC_6355 		
	3.46 	5.83 
	7.95 	5.42 
	8.45 	4.71 
	15.20 	5.29 
	22.67 	5.21 
	27.54 	5.83 
	27.84 	5.05 
	33.83 	4.96 
	39.15 	4.19 
	40.78 	4.68 
	51.74 	4.64 
	68.74 	4.43 
 	122.51 	3.76 
  	0	0
 	
NGC_6356 		
	13.12 	6.85 
	106.40 	7.41 
	146.63 	3.83 
 	175.70 	4.88 
  	0	0
 	
NGC_6362 		
	14.29 	3.90 
	16.63 	3.59 
	25.30 	3.18 
	31.36 	3.37 
	32.90 	3.71 
	41.01 	3.59 
	49.85 	3.41 
	55.98 	4.29 
	56.85 	3.52 
	60.02 	4.05 
	64.00 	3.37 
	72.29 	3.19 
	72.30 	4.21 
	78.97 	3.44 
	79.68 	3.88 
	84.54 	3.71 
	87.67 	3.34 
	88.14 	3.68 
	90.02 	3.74 
	97.45 	3.55 
	106.33 	3.15 
	151.45 	2.93 
	177.13 	2.68 
	211.74 	3.08 
	297.28 	2.56 
	306.97 	2.43 
 	451.18 	1.82 
  	0	0
 	
NGC_6366 		
	35.80 	2.30 
	56.84 	2.23 
	61.11 	2.40 
	83.46 	2.53 
	84.77 	2.03 
	115.99 	2.41 
	163.86 	2.00 
	184.60 	2.23 
	226.49 	2.11 
	298.39 	1.93 
	342.84 	2.17 
 	438.90 	1.79 
  	0	0
 	
NGC_6380 		
	2.15 	8.11 
	4.02 	8.74 
	7.82 	7.67 
	8.11 	8.93 
	15.49 	8.38 
	18.97 	6.23 
	21.46 	7.88 
	24.41 	7.97 
	27.12 	7.92 
	29.94 	7.88 
	32.59 	7.83 
	35.23 	7.61 
	38.38 	7.61 
	41.70 	7.97 
	42.87 	8.11 
	45.67 	7.47 
	50.06 	7.42 
	54.77 	7.33 
	61.23 	7.33 
	69.32 	7.06 
	77.83 	6.79 
	97.99 	6.19 
	134.96 	5.06 
 	139.89 	5.42 
  	0	0
 	
NGC_6388 		
	0.89 	23.30 
	1.82 	25.70 
	2.69 	24.00 
	3.63 	22.20 
	4.47 	20.50 
	6.03 	18.60 
	6.47 	17.10 
	7.60 	17.86 
	10.96 	16.80 
	13.31 	17.68 
	16.63 	15.41 
	17.54 	16.20 
	18.20 	13.60 
	19.52 	15.13 
	22.48 	15.23 
	23.18 	15.15 
	25.15 	15.84 
	26.58 	15.36 
	28.03 	15.24 
	29.48 	14.93 
	30.92 	14.62 
	31.84 	15.15 
	33.78 	14.73 
	34.03 	14.35 
	36.27 	14.25 
	37.11 	13.41 
	38.25 	14.25 
	40.31 	13.93 
	41.03 	13.26 
	42.52 	13.24 
	44.50 	13.24 
	46.42 	13.87 
	47.52 	13.79 
	48.52 	13.61 
	50.55 	12.92 
	52.54 	12.97 
	54.60 	13.13 
	55.06 	13.23 
	56.79 	13.08 
	58.99 	12.29 
	61.18 	12.39 
	63.32 	12.34 
	65.78 	12.44 
	67.49 	11.85 
	68.26 	12.34 
	70.87 	11.81 
	73.91 	11.70 
	77.08 	11.76 
	80.48 	11.76 
	84.72 	11.44 
	89.98 	10.70 
	94.32 	10.92 
	97.32 	11.28 
	108.86 	10.86 
	132.76 	10.13 
	138.45 	8.39 
	181.38 	9.58 
	200.86 	8.48 
	239.96 	8.28 
	331.13 	6.65 
 	348.42 	5.71 
  	0	0
 	
NGC_6397 		
	6.20 	5.39 
	7.17 	5.74 
	15.11 	5.51 
	20.34 	5.14 
	21.11 	5.50 
	28.51 	5.48 
	37.04 	5.24 
	37.13 	4.96 
	50.63 	5.25 
	55.43 	5.02 
	63.60 	4.49 
	80.97 	5.42 
	87.11 	4.65 
	98.86 	4.17 
	119.11 	4.54 
	119.40 	4.02 
	150.05 	4.02 
	175.71 	4.23 
	186.23 	3.99 
	223.82 	4.05 
	227.78 	3.70 
	270.32 	3.62 
	272.82 	3.79 
	318.22 	3.64 
	323.04 	3.51 
	365.37 	3.31 
	379.31 	3.27 
	404.01 	3.40 
	435.81 	3.64 
	448.95 	3.43 
	466.92 	3.27 
	499.01 	2.82 
	529.80 	3.20 
	544.50 	2.98 
	610.33 	2.77 
	675.77 	2.94 
 	993.77 	2.37 
  	0	0
 	
NGC_6401 		
	2.00 	6.00 
	4.26 	5.89 
	6.45 	6.17 
	8.75 	5.96 
	12.64 	6.07 
	17.54 	5.89 
	22.86 	5.57 
	28.52 	5.71 
	34.87 	5.61 
	41.20 	5.22 
	43.58 	4.97 
	49.36 	5.29 
	51.82 	6.32 
	58.51 	5.26 
	72.78 	4.80 
	92.14 	4.34 
	96.33 	4.51 
 	165.23 	3.39 
  	0	0
 	
NGC_6402_(M-14) 		
	50.92 	8.79 
	88.24 	7.66 
	119.97 	7.20 
	125.89 	6.97 
	161.03 	7.14 
	161.13 	6.50 
	191.46 	6.32 
	245.24 	5.61 
	245.31 	5.80 
 	424.01 	4.25 
  	0	0
 	
NGC_6426 		
	39.66 	2.58 
 	87.37 	1.98
  	0	0
 	 
NGC_6440 		
	10.65 	13.39 
	13.72 	13.82 
	27.98 	11.83 
	85.25 	9.37 
	87.87 	9.06 
	133.57 	7.64 
 	177.16 	4.21 
  	0	0
 	
NGC_6441 		
	0.76 	19.07 
	1.86 	18.40 
	2.98 	19.37 
	3.91 	21.06 
	4.62 	18.83 
	5.44 	16.77 
	6.16 	19.07 
	7.01 	18.22 
	7.07 	15.81 
	7.09 	16.98 
	7.68 	19.79 
	8.29 	17.32 
	8.95 	17.38 
	9.98 	17.98 
	11.75 	17.32 
	12.97 	18.13 
	16.11 	15.51 
	17.01 	16.23 
	20.94 	16.29 
	23.76 	15.51 
	25.41 	17.00 
	28.65 	14.72 
	30.13 	16.30 
	32.26 	15.27 
	35.14 	16.18 
	35.17 	14.48 
	37.92 	14.54 
	40.42 	14.48 
	41.12 	13.89 
	42.97 	14.42 
	45.43 	13.46 
	47.84 	13.64 
	49.10 	14.04 
	50.00 	13.94 
	52.55 	13.33 
	54.98 	12.97 
	55.91 	12.64 
	57.26 	13.15 
	59.81 	12.61 
	61.19 	13.37 
	62.22 	12.19 
	64.89 	12.37 
	67.62 	13.09 
	70.55 	12.91 
	73.81 	11.77 
	77.59 	13.03 
	81.81 	12.25 
	86.44 	12.73 
	91.48 	11.40 
	91.54 	10.70 
	99.17 	12.19 
	110.14 	12.61 
	128.85 	10.44 
 	171.68 	7.63
  	0	0
 	 
NGC_6453 		
	3.81 	7.35 
	6.02 	7.21 
	8.48 	7.30 
	8.94 	5.90 
	12.54 	7.11 
	17.57 	6.68 
	21.65 	6.92 
	25.14 	6.21 
	28.54 	6.21 
	32.08 	6.06 
	35.69 	5.87 
	40.96 	5.82 
	46.30 	6.06 
	53.49 	5.35 
	63.32 	4.96 
 	78.24 	4.73 
  	0	0
 	
NGC_6496 		
	33.46 	3.13 
	63.59 	2.82 
	64.62 	2.73 
	103.62 	2.56 
	109.94 	2.40 
	158.59 	1.97 
	179.29 	2.04 
 	302.74 	1.53 
  	0	0
 	
NGC_6517 		
	8.04 	8.57 
	37.35 	6.92 
	112.01 	4.45 
 	113.08 	5.11 
  	0	0
 	
NGC_6522 		
	6.86 	8.38 
	13.02 	9.06 
	16.94 	7.64 
	21.03 	8.95 
	25.46 	8.37 
	29.57 	8.22 
	42.93 	6.84 
	118.95 	4.22 
 	123.74 	4.85 
  	0	0
 	
NGC_6528 		
	7.13 	4.08 
	14.94 	4.47 
	22.35 	4.83 
	38.04 	4.28 
 	75.78 	4.57
  	0	0
 	
NGC_6535 		
	9.09 	3.59 
	26.31 	2.62 
	46.45 	2.08 
	50.14 	2.07 
	62.48 	2.08 
	71.13 	1.99 
 	157.84 	1.69 
  	0	0
 	
NGC_6539 		
	42.22 	5.76 
	45.86 	5.75 
	82.56 	4.96 
	107.41 	4.73 
	145.67 	4.48 
 	248.46 	3.75
  	0	0
 	 
NGC_6540 		
	19.47 	2.79 
 	101.56 	2.02 
  	0	0
 	
NGC_6541 		
	3.75 	9.05 
	7.44 	9.09 
	8.32 	9.00 
	10.75 	8.66 
	13.63 	8.51 
	16.05 	7.71 
	16.76 	8.44 
	19.85 	7.86 
	21.96 	7.23 
	23.02 	7.68 
	26.11 	7.97 
	27.27 	7.76 
	29.72 	7.94 
	32.53 	7.19 
	33.47 	7.83 
	37.12 	7.72 
	37.71 	7.29 
	40.81 	7.68 
	44.01 	7.31 
	44.70 	7.36 
	49.27 	7.18 
	51.38 	6.77 
	54.42 	6.96 
	59.04 	7.06 
	59.59 	6.67 
	65.25 	7.03 
	71.06 	7.18 
	71.92 	6.74 
	77.63 	5.95 
	85.71 	6.24 
	98.55 	5.84 
	119.47 	5.51 
	152.66 	5.39 
	174.88 	5.41 
	184.06 	5.12 
	218.50 	4.70 
 	364.84 	3.08 
  	0	0
 	
NGC_6544 		
	39.62 	5.75 
	105.95 	4.73 
	117.52 	4.16 
	194.87 	4.31 
	318.60 	3.63 
 	456.68 	3.35 
  	0	0
 	
NGC_6553 		
	25.35 	8.64 
	28.90 	6.68 
	50.42 	8.27 
	66.95 	7.26 
	71.53 	7.70 
	95.29 	7.47 
	130.19 	6.62 
	154.29 	5.41 
 	253.16 	5.66 
   	0	0
 	
NGC_6558 		
	3.18 	4.95 
	5.98 	5.06 
	8.77 	4.21 
	12.38 	4.02 
	17.27 	3.73 
	22.82 	3.80 
	28.51 	3.17 
	35.24 	3.25 
	43.68 	2.99 
	44.76 	3.20 
	45.96 	3.02 
 	55.37 	2.73  	  	
 	0	0

NGC_6569 		
	31.14 	6.33 
	76.84 	5.11 
	85.83 	5.39 
	142.63 	4.99 
 	244.77 	4.09 
  	0	0
 	
NGC_6584 		
	11.78 	4.77 
	21.02 	4.26 
	28.04 	3.62 
	34.43 	3.68 
	45.46 	3.94 
	74.40 	3.68 
	76.47 	3.34 
 	127.33 	2.72 
  	0	0
 	
NGC_6624 		
	3.76 	7.53 
	4.21 	7.21 
	6.39 	6.77 
	9.38 	6.99 
	9.91 	7.24 
	12.19 	6.54 
	14.54 	6.61 
	15.69 	6.27 
	16.89 	6.69 
	19.43 	5.70 
	20.97 	6.73 
	22.44 	6.27 
	25.11 	5.97 
	27.33 	5.54 
	28.49 	5.78 
	32.26 	5.63 
	36.11 	5.25 
	41.18 	4.98 
	41.80 	4.89 
	47.00 	5.02 
	53.76 	5.13 
	60.29 	4.83 
	68.79 	4.45 
	83.04 	4.49 
	83.49 	4.49 
	106.45 	3.43 
 	149.93 	4.19
  	0	0
 	
NGC_6626_(M-28)		
	44.85 	8.47 
	104.70 	7.59 
	134.78 	6.83 
	163.72 	6.52 
	215.21 	5.01 
	318.73 	4.89 
 	319.76 	3.64 
  	0	0
 	
NGC_6637_(M-69)		
	3.80 	7.05 
	8.02 	6.58 
	8.55 	6.31 
	11.86 	6.29 
	14.80 	6.41 
	17.31 	6.41 
	20.00 	5.99 
	22.49 	6.24 
	25.03 	5.91 
	27.44 	5.65 
	30.05 	6.03 
	33.20 	6.41 
	36.27 	5.74 
	39.81 	5.65 
	43.39 	5.61 
	46.70 	5.48 
	51.06 	5.27 
	55.02 	4.94 
	59.19 	5.02 
	64.11 	5.23 
	69.74 	5.02 
	74.08 	5.03 
	77.03 	4.51 
	84.95 	4.28 
	87.76 	4.35 
	121.98 	3.75 
 	166.22 	3.57 
  	0	0
 	
NGC_6638 		
	78.65 	4.40 
 	88.68 	4.10 
  	0	0
 	
NGC_6642 		
	2.87 	4.69 
	4.33 	4.58 
	7.52 	4.46 
	12.80 	4.69 
	17.02 	4.58 
	22.82 	4.08 
	31.48 	3.74 
	39.18 	3.55 
	52.62 	3.93 
	52.88 	3.32 
	60.32 	3.94 
 	117.61 	2.39 
  	0	0
 	
NGC_6652 		
	6.57 	5.20 
	8.31 	3.98 
	12.05 	4.80 
	16.76 	3.99 
	21.61 	4.40 
	28.02 	3.50 
	41.28 	3.62 
	42.09 	3.19 
	50.94 	3.67 
	61.98 	3.23 
 	94.77 	3.16 
  	0	0
 	
NGC_6656_(M-22)		
	7.47 	8.61 
	9.75 	8.48 
	17.21 	9.33 
	20.02 	8.06 
	24.69 	8.63 
	27.17 	8.58 
	31.29 	8.91 
	33.31 	8.83 
	37.43 	8.94 
	38.66 	9.09 
	42.74 	8.72 
	43.49 	8.09 
	48.27 	9.30 
	48.36 	8.46 
	53.31 	8.38 
	53.61 	8.86 
	58.18 	9.02 
	58.32 	8.83 
	63.05 	8.21 
	63.80 	8.47 
	69.24 	8.66 
	74.84 	8.74 
	79.93 	8.52 
	85.72 	8.82 
	90.82 	7.81 
	94.06 	8.69 
	107.66 	8.72 
	107.85 	8.07 
	145.69 	8.05 
	189.06 	7.09 
	241.45 	7.36 
	251.48 	7.01 
	326.29 	6.39 
	365.00 	5.79 
	378.29 	6.48 
	428.98 	6.05 
	487.10 	5.99 
	542.25 	5.54 
	560.61 	5.17 
	596.43 	5.15 
	674.03 	4.96 
	749.86 	4.84 
	888.61 	4.43 
 	1046.38 3.79 
  	0	0
 	
NGC_6681_(M-70)		
	2.88 	6.66 
	5.29 	6.52 
	7.37 	6.39 
	10.54 	6.45 
	11.74 	6.12 
	14.33 	5.33 
	15.23 	5.55 
	17.73 	5.88 
	18.93 	5.68 
	20.84 	5.57 
	23.10 	5.46 
	23.99 	5.20 
	26.91 	5.30 
	27.73 	5.41 
	29.91 	5.53 
	32.20 	5.33 
	32.73 	5.56 
	37.96 	5.33 
	38.04 	4.76 
	44.04 	4.70 
	51.23 	4.66 
	58.72 	4.57 
	70.01 	4.30 
	86.55 	3.82 
	93.34 	3.63 
	154.02 	2.20 
 	182.81 	2.83 
  	0	0
 	
NGC_6712 		
	34.41 	4.65 
	63.66 	3.93 
	85.81 	3.90 
	100.68 	4.00 
	139.22 	3.53 
	154.45 	3.60 
	248.09 	2.33 
 	252.39 	2.64 
  	0	0
 	
NGC_6715_(M-54)  		
	6.61 	16.25 
	7.76 	19.19 
	12.47 	15.77 
	13.04 	15.95 
	16.38 	16.91 
	17.03 	14.83 
	20.19 	14.95 
	20.37 	15.89 
	22.65 	14.70 
	24.35 	11.69 
	24.55 	14.45 
	26.28 	13.71 
	28.47 	14.22 
	28.58 	12.58 
	30.62 	14.33 
	30.92 	14.37 
	32.68 	14.33 
	33.70 	12.71 
	35.31 	12.96 
	38.07 	12.46 
	42.49 	11.84 
	44.69 	11.37 
	49.55 	10.96 
	55.30 	12.36 
	55.97 	12.93 
	59.61 	11.84 
	71.18 	10.67 
	74.92 	12.58 
	91.32 	9.27 
	94.67 	9.01 
	121.24 	8.78 
	133.00 	6.65 
	170.92 	6.08 
	269.01 	7.04 
	410.12 	8.27 
 	679.10 	8.38 
  	0	0
 
NGC_6717 		
	6.62 	3.30 
	10.08 	2.85 
	22.94 	2.64 
	34.78 	2.50 
	49.33 	2.57 
	63.57 	2.65 
	77.30 	2.50 
 	113.60 	1.89 
  	0	0
 
NGC_6723 		
	10.15 	5.84 
	11.60 	6.23 
	18.00 	5.92 
	19.87 	6.11 
	21.72 	5.79 
	22.30 	6.00 
	26.30 	5.80 
	26.47 	5.88 
	30.00 	5.76 
	33.43 	5.68 
	33.70 	5.60 
	38.00 	5.49 
	39.68 	5.56 
	46.31 	5.17 
	47.75 	5.43 
	52.76 	5.84 
	58.63 	5.13 
	66.03 	5.17 
	69.54 	4.85 
	73.15 	5.02 
	84.69 	4.59 
	90.35 	4.74 
	105.30 	4.33 
	115.73 	4.41 
	148.52 	4.09 
	156.22 	4.01 
	183.91 	3.13 
	247.42 	3.31 
 	368.23 	2.58
  	0	0
  
NGC_6749 		
	105.70 	4.59 
 	137.49 	4.73
  	0	0
  
NGC_6752 		
	6.12 	7.65 
	6.31 	8.11 
	12.19 	8.15 
	13.17 	7.56 
	17.71 	8.49 
	20.54 	7.49 
	22.92 	8.51 
	28.52 	7.38 
	28.98 	8.00 
	33.68 	8.10 
	35.90 	7.29 
	38.67 	7.68 
	43.03 	7.10 
	44.11 	7.61 
	50.12 	7.84 
	50.15 	6.76 
	56.72 	7.67 
	62.16 	6.81 
	63.91 	7.06 
	71.54 	7.00 
	76.61 	7.21 
	78.83 	6.26 
	87.26 	6.63 
	87.85 	6.37 
	95.46 	6.92 
	96.87 	6.39 
	102.96 	6.69 
	103.24 	6.62 
	107.77 	5.82 
	113.82 	6.29 
	115.58 	6.14 
	121.49 	5.96 
	141.37 	5.90 
	150.45 	5.63 
	153.25 	5.79 
	198.57 	5.45 
	198.89 	5.43 
	262.10 	5.33 
	262.28 	4.74 
	295.26 	4.45 
	325.85 	4.05 
	333.34 	4.23 
	394.35 	4.13 
	400.57 	4.27 
	444.50 	4.02 
	512.52 	3.92 
	525.95 	3.64 
	670.18 	2.99 
	718.06 	3.02 
 	979.67 	2.64
  	0	0
  
NGC_6760 		
	9.94 	6.89 
	76.47 	5.79 
	104.73 	5.51 
	114.68 	5.06 
 	140.38 	4.75
  	0	0
  
NGC_6779_(M-56)		
	16.44 	5.04 
	26.48 	5.83 
	36.78 	5.24 
	52.49 	4.55 
	72.14 	4.52 
	72.16 	4.65 
	87.25 	4.66 
	103.54 	4.67 
	131.33 	3.92 
	146.97 	4.17 
	169.59 	2.57 
 	221.36 	3.67 
  	0	0
  
NGC_6809_(M-55) 		
	21.10 	5.22 
	36.01 	5.05 
	48.24 	5.17 
	51.03 	4.29 
	58.07 	4.94 
	68.06 	4.94 
	76.62 	4.61 
	88.18 	4.64 
	122.97 	4.06 
	143.04 	4.08 
	190.59 	4.05 
	250.56 	3.80 
	280.84 	3.81 
	407.97 	3.35 
	513.23 	3.15 
 	632.43 	3.23 
  	0	0
  
NGC_6838_(M-71) 		
	23.53 	2.71 
	36.84 	2.85 
	44.83 	2.50 
	58.46 	2.60 
	65.64 	2.41 
	83.96 	2.54 
	101.17 	2.29 
	108.70 	2.48 
	135.95 	2.33 
	181.75 	2.67 
	214.07 	2.04 
	238.66 	2.17 
 	459.84 	1.89 
  	0	0
  
NGC_6864_(M-75)		
	36.36 	10.02 
	51.23 	7.57 
	66.76 	5.82 
	66.76 	6.13 
	76.45 	4.48 
	96.87 	4.85 
 	161.80 	4.07 
  	0	0
  
NGC_6934 		
	6.99 	5.07 
	13.04 	5.14 
	15.52 	4.07 
	16.43 	4.77 
	20.28 	4.77 
	24.02 	5.44 
	28.28 	4.62 
	31.86 	5.14 
	36.78 	4.92 
	40.52 	4.47 
	45.42 	4.40 
	51.16 	4.40 
	58.57 	4.10 
	67.31 	3.87 
	69.22 	2.99 
	75.20 	4.17 
	80.57 	3.86 
	86.05 	3.58 
	105.70 	4.40 
	152.29 	3.06 
 	214.71 	2.31 
  	0	0
  
NGC_6981_(M-72)		
	8.51 	3.96 
	19.97 	3.53 
	26.80 	5.13 
	40.43 	5.53 
	67.26 	3.34 
	73.06 	5.05 
 	103.55 	1.94 
  	0	0
  
NGC_7006 		
	10.69 	3.43 
 	50.68 	3.12 
  	0	0
  
NGC_7078_(M-15) 		
	2.37 	12.51 
	3.89 	11.93 
	5.42 	11.12 
	7.76 	11.78 
	8.48 	11.47 
	10.27 	11.10 
	12.65 	11.27 
	14.05 	11.55 
	16.49 	11.07 
	17.29 	10.28 
	19.58 	11.27 
	20.60 	10.56 
	22.56 	10.56 
	24.01 	11.62 
	25.58 	11.52 
	27.49 	9.67 
	28.61 	10.61 
	31.46 	10.37 
	31.90 	10.91 
	35.20 	9.85 
	35.58 	9.43 
	38.62 	9.70 
	39.55 	9.26 
	42.20 	9.90 
	44.04 	8.29 
	46.18 	9.19 
	49.01 	8.44 
	50.25 	9.04 
	54.16 	9.10 
	54.79 	9.59 
	60.17 	8.88 
	63.02 	7.51 
	65.60 	8.27 
	71.47 	8.58 
	78.36 	8.12 
	82.48 	7.31 
	86.34 	7.77 
	99.88 	7.67 
	115.29 	7.47 
	132.94 	6.08 
	168.90 	6.38 
	201.28 	4.86 
	236.39 	4.89 
	324.76 	3.20 
	456.86 	3.67 
 	617.62 	4.11 
  	0	0
  
NGC_7089_(M-2)		
	7.48 	11.47 
	7.92 	10.36 
	13.43 	11.31 
	15.72 	10.47 
	17.75 	11.14 
	21.39 	9.53 
	21.49 	10.64 
	24.70 	10.59 
	26.54 	9.92 
	27.48 	10.37 
	30.33 	10.53 
	31.75 	9.62 
	32.96 	10.03 
	35.05 	10.81 
	36.92 	9.47 
	37.21 	10.09 
	39.60 	10.03 
	41.77 	10.04 
	42.08 	9.59 
	44.19 	9.31 
	46.35 	9.48 
	47.07 	9.68 
	48.99 	9.64 
	51.60 	9.15 
	51.69 	9.01 
	54.08 	8.87 
	56.21 	9.47 
	56.79 	9.37 
	59.50 	8.87 
	62.45 	8.70 
	65.41 	8.76 
	68.76 	8.15 
	72.40 	8.15 
	76.38 	7.98 
	81.34 	8.37 
	88.58 	8.29 
	89.07 	8.15 
	125.94 	7.58 
	165.41 	6.86 
	184.93 	6.11 
	265.19 	5.29 
	278.44 	5.13 
 	536.05 	4.13 
  	0	0
  
NGC_7099_(M-30)  		
	4.71 	6.29 
	6.04 	6.10 
	11.19 	5.49 
	13.57 	5.26 
	15.15 	5.21 
	19.28 	5.13 
	19.97 	5.06 
	24.38 	5.13 
	27.01 	5.56 
	30.06 	5.01 
	34.18 	4.64 
	35.80 	4.93 
	41.03 	4.65 
	41.36 	4.68 
	48.16 	4.85 
	50.01 	4.19 
	56.62 	4.41 
	65.00 	4.29 
	71.82 	3.96 
	74.49 	4.37 
	87.40 	3.97 
	101.14 	4.23 
	114.31 	3.82 
	153.24 	3.23 
	166.27 	2.91 
	207.12 	3.17 
	274.41 	2.37 
	276.06 	2.25 
	396.03 	2.46 
	467.34 	2.03 
 	603.36 	2.23 
  	0	0
  
NGC_7492 		
	39.92 	1.32 
 	83.40 	1.09 
  	0	0
        
Pal_1 		
 	43.11 	0.30 
  	0	0
        
Pal_2 		
	24.82 	4.30 
	58.85   3.94
 	72.32 	3.84 
  	0	0
  
Pal_3 		
 	24.15 	1.70 
   	0	0
        
Pal_4 		
 	26.71 	0.88
   	0	0
         
Pal_5 		
	129.05 	1.30 
 	341.56 	1.12
  	0	0
         
Pal_6 		
	49.89 	4.96 
 	89.29 	3.91
  	0	0
         
Pal_8 		
	50.93 	2.74 
 	67.43 	3.00 
  	0	0
        
Pal_10 		
	62.54 	4.20 
	71.00 	1.16 
 	124.16 	3.83 
  	0	0
        
Pal_11 		
	64.18 	1.31 
 	80.17 	2.48
  	0	0
         
Pal_12 		
 	78.64 	0.88
  	0	0
        
Pal_13 		
 	44.08 	0.99
  	0	0
         
Pal_14 		
 	77.12 	0.71
  	0	0
        
Pal_15 		
 	75.59 	1.32
  	0	0
        
Patchick_126 		
 	14.30 	1.73
  	0	0
         
Pyxis 		
	65.12 	1.24 
 	193.45 	0.87
  	0	0
        
Rup_106 		
	74.45 	1.47 
 	168.79 	1.10 
  	0	0
       
Sagittarius_2  		
 	85.65 	1.40 
  	0	0
       
Ter_1 		
	24.46 	9.63 
	25.47 	7.54 
	64.06 	8.36 
 	87.58 	5.33 
  	0	0
       
Ter_2 		
	23.03 	3.67 
	25.88 	4.10 
 	67.30 	3.88 
  	0	0
       
Ter_3 		
	31.60 	1.65 
	57.32 	2.14 
 	106.30 	1.97 
  	0	0
       
Ter_4 		
	9.78 	3.80 
 	37.67 	5.84 
   	0	0
       
Ter_5 		
	26.02 	17.18 
	66.18 	12.67 
	74.47 	12.88 
	90.45 	11.89 
	108.85 	10.43 
 	134.66 	9.66 
   	0	0
       
Ter_6 		
	45.03 	4.50 
 	46.76 	4.92
  	0	0
        
Ter_7 		
	20.46 	1.09 
 	98.29 	0.50 
  	0	0
       
Ter_8 		
	67.10 	1.68 
 	184.19 	1.24 
  	0	0
       
Ter_9 		
	10.55 	6.52 
	24.25 	7.86 
	46.85 	4.96 
 	58.80 	7.42 
  	0	0
       
Ter_10 		
	45.62 	7.06 
 	77.53 	6.43 
  	0	0
       
Ter_12 		
	32.39 	2.22 
	36.15 	4.51 
	76.14 	3.21 
 	122.54 	3.64 
  	0	0
       
Ton_2 		
	69.55 	2.39 
	71.82 	2.97 
 	134.66 	2.90 
  	0	0
       
UKS_1 		
 	10.34 	7.03 
  	0	0
       
VVV-CL001 		
	6.16 	7.14 
	15.27 	7.20 
	21.10 	7.10 
	30.42 	5.14 
  	0	0
       

